Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
1,Giant Race X33,The Race X33 from Giant is a time trial bike designed for riders who demand lightweight performance.,Giant,Time Trial Bike,2102.16,EUR,14,4625056263972,Blue,XL,Pre-Order,ce69UgkbS0uS
2,Pinarello Ultra RS47,The Ultra RS47 from Pinarello is a endurance bike designed for riders who demand versatility.,Pinarello,Endurance Bike,4408.59,EUR,38,9608884951413,Green,M,Pre-Order,WnfuCZU32S86
3,Giant Endurance X43,The Endurance X43 from Giant is a cyclocross bike designed for riders who demand versatility.,Giant,Cyclocross Bike,5138.78,GBP,40,8968883451549,White,L,Pre-Order,Av1ZxNWoBOTm
4,BMC Carbon RX57,The Carbon RX57 from BMC is a gravel bike designed for riders who demand versatility.,BMC,Gravel Bike,8156.2,GBP,21,1533931202041,Carbon,XL,Pre-Order,a8ZeJL4DIeYy
5,Trek Speed SL46,The Speed SL46 from Trek is a gravel bike designed for riders who demand lightweight performance.,Trek,Gravel Bike,7683.03,GBP,37,7372496031131,Carbon,XXL,Out of Stock,WGmQTpc4pZp5
6,Pinarello Aero X14,The Aero X14 from Pinarello is a cyclocross bike designed for riders who demand aerodynamics.,Pinarello,Cyclocross Bike,3282.1,USD,8,3994523968401,Yellow,XL,Out of Stock,XoDl3AVzKgLJ
7,Cervélo Aero X92,The Aero X92 from Cervélo is a road bike designed for riders who demand aerodynamics.,Cervélo,Road Bike,2361.87,GBP,17,9572375554743,Carbon,M,In Stock,ZbfF74TlPkTK
8,Scott Race Z6,The Race Z6 from Scott is a time trial bike designed for riders who demand versatility.,Scott,Time Trial Bike,10342.22,USD,14,5229423275698,Yellow,M,Out of Stock,40JmNYrvVfpz
9,Pinarello Carbon RX40,The Carbon RX40 from Pinarello is a endurance bike designed for riders who demand lightweight performance.,Pinarello,Endurance Bike,8741.83,USD,10,7812936361689,Orange,S,In Stock,8Glzas9w8NVK
10,Cervélo Lightweight Z93,The Lightweight Z93 from Cervélo is a time trial bike designed for riders who demand speed.,Cervélo,Time Trial Bike,5460.16,USD,48,3376575286558,Red,XXL,Out of Stock,5CQvnHyTqlQr
11,Giant Aero SLR72,The Aero SLR72 from Giant is a gravel bike designed for riders who demand aerodynamics.,Giant,Gravel Bike,9015.98,USD,46,6887392013335,Blue,XS,Pre-Order,wKXOulc6ZVbC
12,Specialized Race RS98,The Race RS98 from Specialized is a endurance bike designed for riders who demand versatility.,Specialized,Endurance Bike,3467.33,EUR,10,4399467881159,Silver,ML,Out of Stock,jlMipRXBWeEu
13,Specialized Lightweight X39,The Lightweight X39 from Specialized is a endurance bike designed for riders who demand lightweight performance.,Specialized,Endurance Bike,11312.2,USD,7,2440267201095,Silver,XS,Pre-Order,Oqz3wuarkKKk
14,Trek Race SL38,The Race SL38 from Trek is a gravel bike designed for riders who demand speed.,Trek,Gravel Bike,8057.88,USD,19,5402396864606,White,S,Out of Stock,iv2hVdfWzqSM
15,Scott Pro RX42,The Pro RX42 from Scott is a aero bike designed for riders who demand comfort.,Scott,Aero Bike,4263.04,USD,36,5483258940898,Silver,XXL,Pre-Order,Oo2zOXDEqYoC
16,Giant Endurance SLR10,The Endurance SLR10 from Giant is a cyclocross bike designed for riders who demand versatility.,Giant,Cyclocross Bike,2421.62,GBP,7,8979965593916,Green,ML,Out of Stock,I8iEorFc3uZ9
17,BMC Performance SLR19,The Performance SLR19 from BMC is a aero bike designed for riders who demand lightweight performance.,BMC,Aero Bike,3794.95,GBP,38,1491465888197,Silver,M,In Stock,AVzbrk4U1sZU
18,Colnago Carbon SLR81,The Carbon SLR81 from Colnago is a road bike designed for riders who demand comfort.,Colnago,Road Bike,9346.83,USD,20,5602702051397,Red,ML,Pre-Order,m0rolXSs73kG
19,BMC Endurance X11,The Endurance X11 from BMC is a cyclocross bike designed for riders who demand aerodynamics.,BMC,Cyclocross Bike,11803.58,EUR,2,2100914105735,Orange,XXL,In Stock,RTnhB7OC2Gbs
20,Colnago Endurance RX91,The Endurance RX91 from Colnago is a time trial bike designed for riders who demand lightweight performance.,Colnago,Time Trial Bike,1855.39,USD,49,2117819568784,Orange,ML,Pre-Order,KhrKmDyASDXW
21,Colnago Ultra X51,The Ultra X51 from Colnago is a aero bike designed for riders who demand comfort.,Colnago,Aero Bike,10810.04,USD,7,7410134483135,White,XL,In Stock,A7TO2UYVJJ1T
22,Cannondale Ultra X73,The Ultra X73 from Cannondale is a time trial bike designed for riders who demand speed.,Cannondale,Time Trial Bike,6545.8,EUR,3,8592775213701,Green,L,Pre-Order,g8cvRog71ph9
23,Cervélo Ultra SL37,The Ultra SL37 from Cervélo is a cyclocross bike designed for riders who demand aerodynamics.,Cervélo,Cyclocross Bike,8774.62,USD,50,5179224728896,Black,ML,Pre-Order,EYnE8kKh6EHL
24,Giant Aero Z57,The Aero Z57 from Giant is a aero bike designed for riders who demand comfort.,Giant,Aero Bike,4019.48,USD,39,2963919050561,Blue,M,In Stock,f4lsdRLcI051
25,Giant Speed Z15,The Speed Z15 from Giant is a endurance bike designed for riders who demand speed.,Giant,Endurance Bike,11907.69,EUR,18,3430646902868,Green,S,Pre-Order,vc7flFiSONya
26,Merida Carbon X50,The Carbon X50 from Merida is a endurance bike designed for riders who demand lightweight performance.,Merida,Endurance Bike,9100.61,EUR,38,4225304440222,Silver,S,Out of Stock,jjvYVZ6cp3em
27,Scott Carbon RX70,The Carbon RX70 from Scott is a gravel bike designed for riders who demand speed.,Scott,Gravel Bike,11832.2,EUR,22,6072154984438,Carbon,ML,Pre-Order,Ixm7UIDX6WAH
28,Giant Endurance RS52,The Endurance RS52 from Giant is a cyclocross bike designed for riders who demand versatility.,Giant,Cyclocross Bike,6395.81,GBP,24,2773724975361,Orange,XXL,In Stock,1s8N2NrLhm5z
29,Cannondale Speed RS28,The Speed RS28 from Cannondale is a road bike designed for riders who demand aerodynamics.,Cannondale,Road Bike,6262.61,GBP,26,3602798639888,Green,L,In Stock,cIdnQqLQi18j
30,Merida Aero RS35,The Aero RS35 from Merida is a cyclocross bike designed for riders who demand speed.,Merida,Cyclocross Bike,2133.27,GBP,21,8880973357977,Silver,XL,Pre-Order,sicF4hOlTwkB
31,Merida Aero X81,The Aero X81 from Merida is a road bike designed for riders who demand comfort.,Merida,Road Bike,11257.71,EUR,17,0787432388450,Green,ML,Pre-Order,W6Xo0Ty6D6Js
32,Cervélo Race SL95,The Race SL95 from Cervélo is a time trial bike designed for riders who demand comfort.,Cervélo,Time Trial Bike,4618.86,USD,13,4889249317248,Carbon,M,In Stock,HeYFm8wDZZWe
33,BMC Aero SLR56,The Aero SLR56 from BMC is a cyclocross bike designed for riders who demand speed.,BMC,Cyclocross Bike,5875.08,GBP,49,7721649174133,Blue,XXL,Out of Stock,F7B6JzxaHo0c
34,Trek Elite Z76,The Elite Z76 from Trek is a cyclocross bike designed for riders who demand speed.,Trek,Cyclocross Bike,10751.06,GBP,25,9086349836930,White,M,In Stock,EbXqb1XYwY72
35,Scott Speed RX25,The Speed RX25 from Scott is a time trial bike designed for riders who demand comfort.,Scott,Time Trial Bike,7047.3,EUR,43,0843608306353,Yellow,XL,Pre-Order,TAxJSklgU65l
36,Cannondale Endurance SLR17,The Endurance SLR17 from Cannondale is a gravel bike designed for riders who demand comfort.,Cannondale,Gravel Bike,8751.64,EUR,18,0740108414875,Red,M,In Stock,RTwxAq1o0dOZ
37,Colnago Elite SL3,The Elite SL3 from Colnago is a aero bike designed for riders who demand lightweight performance.,Colnago,Aero Bike,3221.64,GBP,41,1934810521901,Black,L,Pre-Order,iZvhJHkldIGN
38,Cannondale Lightweight SLR34,The Lightweight SLR34 from Cannondale is a road bike designed for riders who demand versatility.,Cannondale,Road Bike,1963.29,USD,26,0101140966316,Orange,ML,In Stock,Eg10QFUoVoiH
39,Cannondale Endurance X16,The Endurance X16 from Cannondale is a gravel bike designed for riders who demand speed.,Cannondale,Gravel Bike,2467.66,USD,50,8504059568035,Orange,S,Pre-Order,sz0vgbP9TunJ
40,Merida Pro SLR71,The Pro SLR71 from Merida is a cyclocross bike designed for riders who demand aerodynamics.,Merida,Cyclocross Bike,11939.7,GBP,45,8948234878957,Green,L,In Stock,cVSM9IsVtqQU
41,Scott Performance X13,The Performance X13 from Scott is a endurance bike designed for riders who demand lightweight performance.,Scott,Endurance Bike,2579.43,EUR,28,2180841569023,Green,ML,Out of Stock,f5tIzwMw3lxq
